Np_1d,h,stress_norm
2,0.041666666666666664,1.255124405999271
2,0.03571428571428571,1.0817344962709325
2,0.03125,0.9474891577949847
2,0.027777777777777776,0.84844081799636
2,0.023809523809523808,0.727021077959477
2,0.020833333333333332,0.6401629445417945
2,0.01818181818181818,0.5582402236203716
2,0.015625,0.48371675239816947
2,0.0136986301369863,0.4245750514698795
2,0.011904761904761904,0.3702425408564941
2,0.010309278350515464,0.3211589385217524
2,0.009009009009009009,0.28064972582032743
2,0.0078125,0.24441994632941735
4,0.041666666666666664,0.13968848905331968
4,0.03571428571428571,0.09076904712098824
4,0.03125,0.05943519702950671
4,0.027777777777777776,0.042898303308340324
4,0.023809523809523808,0.027825384498189037
4,0.020833333333333332,0.018340103953364866
4,0.01818181818181818,0.012216232503941509
4,0.015625,0.007852403374514526
4,0.0136986301369863,0.005514682691932503
4,0.011904761904761904,0.0035510420124188332
4,0.010309278350515464,0.002359306111357361
4,0.009009009009009009,0.0015688751246281424
4,0.0078125,0.0010323495864669307
6,0.041666666666666664,0.028950125387967273
6,0.03571428571428571,0.014536358986475822
6,0.03125,0.008631835130295034
6,0.027777777777777776,0.005093519925630097
6,0.023809523809523808,0.002607805078507097
6,0.020833333333333332,0.0013583880943878598
6,0.01818181818181818,0.0007033391414693312
6,0.015625,0.00032714357562936634
6,0.0136986301369863,0.00018269006557364477
6,0.011904761904761904,8.47492064380843e-05
6,0.010309278350515464,4.451261824566468e-05
6,0.009009009009009009,2.191305011288321e-05
6,0.0078125,1.0754121588333117e-05
